condition,knn_f1,knn_sd,rf_f1,rf_sd,rf_mcc
raw X,78.26990446591937,19.285354351857013,77.0092100659704,17.981055705533446,0.5839697344043648
static,78.54387452068039,19.69729596025279,79.66230078844724,18.379717516061593,0.6237978017282969
learned,46.79706702809689,17.56980936856966,52.82213351775041,28.990184616738823,0.10180703654142434
shuffled,62.05703018541573,18.19017006520463,62.93327087049605,16.35693844192147,0.3261990967568459
