method,kappaT,run_lo,run_hi,row_lo,row_hi
batch RF (raw),-54.427638737759175,-118.76573711362146,-4.432581521739136,-58.326442608855196,-51.13398876404528
ARF (ADWIN),0.1066376496191288,-0.08263586956523726,0.27750272034821116,0.024105412572668652,0.181079901681393
HT + ADWIN reset,-0.8052230685527927,-1.072830053519003,-0.560508181219951,-0.9413177261768948,-0.6814651698330523
Hoeffding tree,-4.0805223068553556,-7.106754829285631,-1.6942032632351012,-4.4620804732293715,-3.744193792921803
