method,macro_f1,boundary_acc,within_acc,kappa_temporal,eval_rows,boundary_rows
persistence W=1,99.55689553478545,0.0,100.0,0.0,224986,919
batch RF (raw),77.28570674793913,89.00979325353646,77.31169694778794,-54.427638737759175,224986,919
ARF (ADWIN),99.60460607929933,85.2013057671382,99.6942878692534,0.1066376496191288,224986,919
HT + ADWIN reset,99.20176579140949,63.32970620239391,99.40999790241311,-0.8052230685527927,224986,919
Hoeffding tree,97.74954947807166,91.73014145810664,97.95016669121289,-4.0805223068553556,224986,919
