condition,macro_f1,macro_f1_std,boundary_acc,kappa_temporal,attack_r2,normal_r2
raw X,77.0092100659704,17.981055705533446,79.47208608034205,-27.17758369723435,,
static,79.66230078844724,18.379717516061593,79.63268673480809,-22.001940805434234,,
quadratic,52.82213351775041,28.990184616738823,57.933768158905636,-76.4638524987869,-880856237.375,-18941439424.62617
spline(25 knots),48.62309576683479,30.366879705318023,54.42500341447575,-85.13779718583203,-382133939.7591057,-12836348666.066212
rf-on-time,52.982625835536126,28.562441126022982,57.99643198590432,-75.94323144104798,-45745285.38902134,0.23502978086471557
