method,acc,errors,within_err,boundary_err,share_within,recall_attack,recall_normal,bdry_acc,within_acc
persistence W=1,99.59153013965314,919,0,919,0.0,99.43240008390607,99.68112377816219,0.0,100.0
batch RF (raw),77.35948014543126,50938,50837,101,99.80171973772036,99.46941746973829,64.91111064796482,89.00979325353646,77.31169694778794
ARF (ADWIN),99.63508840550078,821,685,136,83.43483556638246,99.75938699209061,99.56510563209048,85.2013057671382,99.6942878692534
HT + ADWIN reset,99.26262078529331,1659,1322,337,79.68655816757082,99.45707834112756,99.15313700562028,63.32970620239391,99.40999790241311
Hoeffding tree,97.92475976282968,4669,4593,76,98.37224245020347,97.19531606677937,98.33545222761788,91.73014145810664,97.95016669121289
