dataset,condition,macro_f1,aut,kappa_temporal,boundary_acc,within_acc
NF-UNSW-NB15-v3,raw X,99.9658667988526,0.9996545407779347,0.9992839339566785,99.98583825154759,99.99008750574608
NF-UNSW-NB15-v3,static,99.98530534027687,0.999848181193033,0.9996970489816726,99.99277093729059,99.9960034504065
NF-UNSW-NB15-v3,oracle,99.96486102399247,0.9996513628120056,0.999242622454179,99.98722851657895,99.98935890415856
NF-UNSW-NB15-v3,oracle_shuf,99.96481479115837,0.9996463006049996,0.999242622454179,99.97902560148324,99.99078506107415
NF-UNSW-NB15-v3,recency_W50,99.93921594486008,0.999388193453635,0.9986918024208536,99.97696339972795,99.98152511241729
NF-UNSW-NB15-v3,recency_W250,99.94467119562277,0.9994488073509986,0.9988157369283519,99.97614016287253,99.98392809130135
NF-UNSW-NB15-v3,recency_W1000,99.9574199529643,0.9995721330464715,0.9990911469450153,99.97902560148324,99.98820832204458
NF-UNSW-NB15-v3,recency_shuf_W50,99.93859843921,0.9993813322797453,0.9986918024208536,99.97050846798841,99.98248322775817
NF-UNSW-NB15-v3,recency_shuf_W250,99.94471728912468,0.9994418794024366,0.998829507429185,99.97664180406673,99.98395115443495
NF-UNSW-NB15-v3,recency_shuf_W1000,99.95176720276719,0.999513318388515,0.9989672124375163,99.97901001004563,99.98606095493611
NF-UNSW-NB15-v3,persistence_W1,54.01291107157672,0.5404132198649308,0.0,0.0,100.0
NF-UNSW-NB15-v3,_FULL_PERSISTENCE_%,91.02815859996288,,,,
