condition,boundary_acc,P_attack,R_attack,P_normal,R_normal,avg_boundary_rows_per_fold
raw X,100.0,100.0,100.0,100.0,100.0,7262
oracle@100,100.0,100.0,100.0,100.0,100.0,7262
recency_W50,100.0,100.0,100.0,100.0,100.0,7262
